location_id,state,location_type,latitude,longitude,elevation_m,slope_angle_deg,soil_moisture_pct,rainfall_last_7d_mm,rainfall_last_30d_mm,vegetation_cover_pct,historical_landslide_count,nearby_population,true_risk,high_risk_alert
NER-1228,Sikkim,Highway segment,26.5535,88.6206,273,14.6,32.1,63.1,188.2,60.7,4,5155,0.359,0
NER-1229,Manipur,Market area,24.5884,93.6075,1674,40.9,40.1,83.2,102.7,81.1,3,1278,0.682,1
NER-1230,Assam,Village,26.5756,92.0235,1380,27.2,35.1,42.5,224.1,91.5,0,1826,0.288,0
NER-1231,Nagaland,School zone,25.0043,94.197,1017,19.3,63.9,12.1,26.6,46.2,1,3068,0.376,0
NER-1232,Mizoram,School zone,24.2066,93.3755,1691,7.0,72.3,46.0,199.3,53.7,3,7576,0.569,1
NER-1233,Nagaland,Market area,24.8703,94.6121,1078,10.2,57.7,66.0,173.1,56.0,3,4252,0.425,0
NER-1234,Assam,Highway segment,25.4092,92.0214,1444,19.5,38.8,53.4,127.4,88.2,1,867,0.291,0
NER-1235,Nagaland,Residential cluster,25.8268,94.8432,580,53.1,77.7,53.3,79.1,99.7,2,5836,0.782,1
NER-1236,Sikkim,Market area,27.541,87.9219,166,7.7,74.0,27.1,163.6,42.5,0,393,0.382,0
NER-1237,Sikkim,Village,27.6026,88.2179,134,12.1,83.4,37.2,127.4,62.2,1,4803,0.623,1
NER-1238,Arunachal Pradesh,Residential cluster,27.6311,92.8703,217,27.4,91.0,87.8,96.6,86.4,1,2192,0.691,1
NER-1239,Nagaland,Village,25.3886,94.4023,397,33.4,88.7,45.1,265.1,75.7,3,2703,0.823,1
NER-1240,Assam,Residential cluster,25.589,91.964,1811,50.5,43.5,42.4,351.5,20.4,1,2138,0.847,1
NER-1241,Manipur,Market area,25.1356,94.314,692,23.6,51.5,25.7,215.4,92.0,1,6333,0.407,0
NER-1242,Mizoram,Residential cluster,24.3305,92.5811,1616,29.1,50.0,68.6,273.7,36.4,2,7581,0.654,1
NER-1243,Tripura,Market area,23.268,90.8965,880,22.5,61.4,14.7,174.4,52.2,2,4990,0.602,1
NER-1244,Nagaland,Village,25.4935,93.4073,85,22.6,45.0,64.3,117.8,43.0,0,5069,0.41,0
NER-1245,Arunachal Pradesh,Village,27.4337,92.9208,1910,15.0,45.6,69.0,179.9,27.0,2,5346,0.504,0
NER-1246,Meghalaya,School zone,24.8623,92.572,2042,39.0,80.2,33.7,324.6,51.7,1,3988,0.85,1
NER-1247,Assam,Market area,26.63,91.3359,1715,60.4,23.1,13.8,82.4,64.3,1,6287,0.503,0
NER-1248,Meghalaya,School zone,25.3167,92.4015,1957,26.6,33.1,48.3,154.8,62.8,0,6511,0.377,0
NER-1249,Sikkim,School zone,27.5208,88.2339,1552,19.0,46.6,57.6,191.5,50.6,2,605,0.437,0
NER-1250,Assam,Residential cluster,26.0584,92.2989,1398,14.3,58.0,94.1,23.9,61.2,0,4084,0.393,0
NER-1251,Sikkim,Highway segment,26.5311,89.3978,272,11.9,49.1,49.8,107.4,46.9,0,3029,0.398,0
NER-1252,Tripura,Residential cluster,23.9455,90.7712,1913,37.9,37.9,53.1,48.1,66.4,2,6871,0.471,0
NER-1253,Meghalaya,Highway segment,26.0503,91.2019,797,18.6,53.3,32.1,407.6,30.9,1,6575,0.522,0
NER-1254,Arunachal Pradesh,Village,26.956,93.737,205,5.8,90.7,94.9,110.1,36.2,2,5832,0.687,1
NER-1255,Arunachal Pradesh,School zone,26.6955,94.2364,1036,25.8,37.5,32.8,169.9,24.8,2,5224,0.479,0
NER-1256,Nagaland,Village,25.985,93.5789,163,19.7,70.7,66.4,40.4,72.4,0,4503,0.411,0
NER-1257,Nagaland,Village,25.1142,93.4191,1626,29.6,28.2,112.4,138.7,72.6,0,975,0.346,0
NER-1258,Mizoram,School zone,23.8444,92.2196,1372,7.7,83.6,71.8,127.5,29.8,1,1931,0.703,1
NER-1259,Arunachal Pradesh,Village,27.1688,94.1312,1814,14.8,68.3,91.4,122.6,64.5,1,7131,0.461,0
NER-1260,Sikkim,Residential cluster,27.9367,87.9962,124,33.1,26.8,45.9,144.3,80.5,0,890,0.305,0
NER-1261,Tripura,Market area,23.5716,91.1478,656,12.8,9.5,158.8,130.1,53.9,3,3882,0.432,0
NER-1262,Assam,School zone,25.9535,91.6001,485,17.6,63.4,27.9,122.2,98.5,1,606,0.493,0
NER-1263,Assam,School zone,26.076,92.1405,1297,50.5,66.1,89.7,85.0,47.9,0,1362,0.835,1
NER-1264,Arunachal Pradesh,Residential cluster,26.7888,93.3695,1995,25.4,23.0,117.0,198.4,55.0,0,4143,0.325,0
NER-1265,Arunachal Pradesh,Residential cluster,26.9244,93.0619,528,34.3,35.7,23.1,55.2,57.0,2,1036,0.407,0
NER-1266,Tripura,Highway segment,24.0486,91.1204,980,31.7,80.0,29.2,307.8,60.2,0,985,0.788,1
NER-1267,Arunachal Pradesh,Market area,27.7658,94.1343,1417,30.3,47.5,66.4,141.0,65.0,4,2708,0.724,1
NER-1268,Nagaland,Village,25.2383,93.7077,2121,61.6,83.5,73.7,394.1,80.3,0,7848,0.983,1
NER-1269,Mizoram,Highway segment,24.1816,92.8158,372,18.6,28.5,3.2,184.0,30.5,2,2404,0.422,0
NER-1270,Sikkim,Highway segment,26.5463,88.8178,1666,7.2,19.1,70.3,86.7,79.4,2,396,0.0,0
NER-1271,Meghalaya,Residential cluster,25.4019,92.3363,906,22.3,59.1,23.6,271.2,29.9,2,6241,0.654,1
NER-1272,Assam,Residential cluster,26.535,92.4057,2007,13.7,23.6,25.2,106.9,92.6,1,2336,0.115,0
NER-1273,Nagaland,Residential cluster,25.9889,94.7808,371,9.4,79.3,65.1,279.4,48.9,1,3128,0.63,1
NER-1274,Meghalaya,Market area,25.2254,91.6219,95,29.8,65.8,123.0,266.0,66.0,1,6397,0.624,1
NER-1275,Meghalaya,Village,24.8647,92.4671,458,11.9,21.8,21.9,67.8,63.7,2,6695,0.165,0
NER-1276,Tripura,Village,23.2867,91.3621,444,3.0,74.6,96.1,196.6,18.5,0,3828,0.545,0
NER-1277,Manipur,Market area,24.8347,94.4423,1183,22.4,49.6,35.4,79.0,75.0,1,527,0.416,0
NER-1278,Meghalaya,Residential cluster,25.3908,91.3083,196,19.1,32.1,26.1,143.8,68.6,0,1320,0.2,0
NER-1279,Mizoram,Highway segment,23.5429,91.9969,815,16.2,55.0,49.1,234.5,83.0,2,4154,0.474,0
NER-1280,Manipur,Highway segment,24.5024,94.148,2181,4.7,49.1,24.2,513.0,98.3,3,2098,0.31,0
NER-1281,Assam,School zone,25.4314,92.5135,962,24.8,47.7,64.7,184.1,83.6,0,4973,0.352,0
NER-1282,Sikkim,Highway segment,27.3879,88.2901,1705,40.9,66.4,47.0,14.8,58.1,0,1775,0.635,1
NER-1283,Arunachal Pradesh,School zone,27.6341,93.0399,1338,8.7,77.1,33.8,103.8,37.7,1,4545,0.477,0
NER-1284,Manipur,School zone,24.5351,94.6394,643,23.0,74.4,53.9,181.8,52.4,0,6517,0.605,1
NER-1285,Arunachal Pradesh,School zone,26.6839,93.9926,884,15.3,10.8,4.6,200.9,36.9,0,7169,0.059,0
NER-1286,Manipur,Residential cluster,24.1495,93.992,2162,11.5,65.7,75.5,248.3,78.7,6,4493,0.63,1
NER-1287,Tripura,Market area,24.093,90.8156,1323,23.7,51.5,25.8,183.9,13.0,0,3857,0.557,1
NER-1288,Mizoram,Residential cluster,23.4542,92.8008,635,7.0,58.1,36.9,218.9,68.2,2,4034,0.273,0
NER-1289,Tripura,Residential cluster,23.984,90.7267,1893,38.7,57.6,45.9,364.8,51.2,2,3664,0.898,1
NER-1290,Meghalaya,Highway segment,25.4272,92.6796,961,16.5,42.4,54.6,122.4,61.7,2,2403,0.359,0
NER-1291,Manipur,Residential cluster,24.5359,94.3966,467,30.9,78.7,127.1,126.9,54.1,1,4001,0.715,1
NER-1292,Sikkim,Village,26.8526,88.5479,742,14.8,29.0,68.1,146.8,63.9,1,1779,0.307,0
NER-1293,Arunachal Pradesh,Highway segment,27.1291,93.7736,1504,11.1,80.9,65.5,97.6,64.7,1,5960,0.494,0
NER-1294,Sikkim,Highway segment,27.6782,89.0835,354,16.8,50.1,94.9,167.6,32.6,0,7551,0.45,0
NER-1295,Assam,School zone,26.4603,92.2215,299,31.0,62.4,93.6,80.7,77.1,0,930,0.6,1
NER-1296,Meghalaya,Market area,26.1875,91.6018,1898,38.8,64.1,34.9,91.4,73.8,2,6887,0.585,1
NER-1297,Sikkim,Highway segment,27.8537,88.642,193,24.1,88.5,135.8,86.2,7.6,1,3100,0.821,1
NER-1298,Manipur,Village,24.4351,93.4169,1988,30.0,59.4,48.0,210.1,39.6,2,3044,0.635,1
NER-1299,Assam,Highway segment,26.5631,91.9486,2162,39.9,68.0,28.6,89.0,60.6,0,1473,0.399,0
